,sector,ticker_count,number_of_files,total_size_gb,size_proportion,target_working_gb
4,Financials,1477,1477,5.243275281973183,0.22428191260109157,2.691382951213099
1,Consumer_Discretionary,1177,1177,4.693658968433738,0.20077198962962425,2.409263875555491
5,Healthcare,1183,1183,3.145804850384593,0.1345622898991737,1.6147474787900844
6,Industrials,571,571,2.737138455733657,0.11708152154752391,1.4049782585702868
9,Technology,757,757,2.6598485531285405,0.1137754339879739,1.3653052078556869
8,Real_Estate,293,293,1.1698297979310155,0.050039650864750936,0.6004758103770113
3,Energy,199,199,0.9404767230153084,0.040229037548320586,0.48274845057984705
11,Utilities,176,176,0.8674084162339568,0.03710352940424358,0.44524235285092295
2,Consumer_Staples,151,151,0.599597055464983,0.02564785695155438,0.30777428341865254
0,Basic_Materials,127,127,0.5229097492992878,0.02236754554806939,0.2684105465768327
10,Telecommunications,105,105,0.4623004635795951,0.019774973960356934,0.2372996875242832
7,Other,348,348,0.3358084401115775,0.014364258057316876,0.1723710966878025
